subject,macro_f1,balanced_accuracy,hypo_recall,normal_recall,hyper_recall,hypo_f1,normal_f1,hyper_f1
c1s01,0.31257814453613403,0.3333333333333333,0.0,1.0,0.0,0.0,0.9377344336084021,0.0
c1s02,0.2812693448430332,0.3336296074782917,0.0,0.9994683678894205,0.0014204545454545455,0.0,0.8409751733392977,0.0028328611898017
c1s03,0.2836112362926243,0.33245289663673183,0.0,0.9973586899101955,0.0,0.0,0.8508337088778729,0.0
c1s04,0.28246462475371664,0.33206990945462206,0.0,0.9962097283638661,0.0,0.0,0.8473938742611499,0.0
c1s05,0.32623931623931623,0.3569187097346507,0.0,0.9403213465952563,0.13043478260869565,0.0,0.9453846153846154,0.03333333333333333
c2s01,0.30214135412798615,0.33170267699415684,0.0,0.9951080309824705,0.0,0.0,0.9064240623839585,0.0
c2s02,0.3232734648477116,0.33659295010325124,0.0,0.9984152139461173,0.011363636363636364,0.0,0.9480812641083521,0.021739130434782608
c2s03,0.3074663402692778,0.33315649867374003,0.0,0.9994694960212201,0.0,0.0,0.9223990208078335,0.0
c2s04,0.30304083405734145,0.3329515082092402,0.0,0.9988545246277205,0.0,0.0,0.9091225021720243,0.0
c2s05,0.31516614924686676,0.333090290436262,0.0,0.999270871308786,0.0,0.0,0.9454984477406002,0.0
